Tstart,Tstop,Nx,logfolder,resfolder,Kp,yaw,controller,wsp,_seed,_amp,Phase,seed,Tint,dx,Amplitude,filename
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,3,2,-29.96,3008,0.23199999999999998,0.68359375,2.84,dlc11_4_ipcpi_a2_-29_08_3008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,3,2,29.96,3008,0.23199999999999998,0.68359375,2.84,dlc11_4_ipcpi_a2_+29_08_3008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,3,3,-29.96,3008,0.23199999999999998,0.68359375,4.26,dlc11_4_ipcpi_a3_-29_08_3008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,3,3,29.96,3008,0.23199999999999998,0.68359375,4.26,dlc11_4_ipcpi_a3_+29_08_3008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,3,4,-29.96,3008,0.23199999999999998,0.68359375,5.68,dlc11_4_ipcpi_a4_-29_08_3008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,8,3,4,29.96,3008,0.23199999999999998,0.68359375,5.68,dlc11_4_ipcpi_a4_+29_08_3008
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,1,1,-29.96,1010,0.2096,0.8544921875,1.42,dlc11_4_ipcpi_a1_-29_10_1010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,1,1,29.96,1010,0.2096,0.8544921875,1.42,dlc11_4_ipcpi_a1_+29_10_1010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,1,2,-29.96,1010,0.2096,0.8544921875,2.84,dlc11_4_ipcpi_a2_-29_10_1010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,1,2,29.96,1010,0.2096,0.8544921875,2.84,dlc11_4_ipcpi_a2_+29_10_1010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,1,3,-29.96,1010,0.2096,0.8544921875,4.26,dlc11_4_ipcpi_a3_-29_10_1010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,1,3,29.96,1010,0.2096,0.8544921875,4.26,dlc11_4_ipcpi_a3_+29_10_1010
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,10,1,4,-29.96,1010,0.2096,0.8544921875,5.68,dlc11_4_ipcpi_a4_-29_10_1010
