Tstart,Tstop,Nx,logfolder,resfolder,Kp,yaw,Phase,controller,wsp,_seed,_amp,seed,Tint,dx,Amplitude,filename
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,10,3,4,3010,0.2096,0.8544921875,5.68,dlc11_3_ipcpi_a4_10_3010
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,12,1,1,1012,0.19466666666666665,1.025390625,1.42,dlc11_3_ipcpi_a1_12_1012
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,12,1,2,1012,0.19466666666666665,1.025390625,2.84,dlc11_3_ipcpi_a2_12_1012
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,12,1,3,1012,0.19466666666666665,1.025390625,4.26,dlc11_3_ipcpi_a3_12_1012
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,12,1,4,1012,0.19466666666666665,1.025390625,5.68,dlc11_3_ipcpi_a4_12_1012
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,12,2,1,2012,0.19466666666666665,1.025390625,1.42,dlc11_3_ipcpi_a1_12_2012
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,12,2,2,2012,0.19466666666666665,1.025390625,2.84,dlc11_3_ipcpi_a2_12_2012
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,12,2,3,2012,0.19466666666666665,1.025390625,4.26,dlc11_3_ipcpi_a3_12_2012
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,12,2,4,2012,0.19466666666666665,1.025390625,5.68,dlc11_3_ipcpi_a4_12_2012
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,12,3,1,3012,0.19466666666666665,1.025390625,1.42,dlc11_3_ipcpi_a1_12_3012
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,12,3,2,3012,0.19466666666666665,1.025390625,2.84,dlc11_3_ipcpi_a2_12_3012
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,12,3,3,3012,0.19466666666666665,1.025390625,4.26,dlc11_3_ipcpi_a3_12_3012
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,12,3,4,3012,0.19466666666666665,1.025390625,5.68,dlc11_3_ipcpi_a4_12_3012
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,14,1,1,1014,0.184,1.1962890625,1.42,dlc11_3_ipcpi_a1_14_1014
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,14,1,2,1014,0.184,1.1962890625,2.84,dlc11_3_ipcpi_a2_14_1014
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,14,1,3,1014,0.184,1.1962890625,4.26,dlc11_3_ipcpi_a3_14_1014
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,14,1,4,1014,0.184,1.1962890625,5.68,dlc11_3_ipcpi_a4_14_1014
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,14,2,1,2014,0.184,1.1962890625,1.42,dlc11_3_ipcpi_a1_14_2014
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,14,2,2,2014,0.184,1.1962890625,2.84,dlc11_3_ipcpi_a2_14_2014
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,14,2,3,2014,0.184,1.1962890625,4.26,dlc11_3_ipcpi_a3_14_2014
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,14,2,4,2014,0.184,1.1962890625,5.68,dlc11_3_ipcpi_a4_14_2014
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,14,3,1,3014,0.184,1.1962890625,1.42,dlc11_3_ipcpi_a1_14_3014
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,14,3,2,3014,0.184,1.1962890625,2.84,dlc11_3_ipcpi_a2_14_3014
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,14,3,3,3014,0.184,1.1962890625,4.26,dlc11_3_ipcpi_a3_14_3014
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,14,3,4,3014,0.184,1.1962890625,5.68,dlc11_3_ipcpi_a4_14_3014
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,16,1,1,1016,0.17600000000000002,1.3671875,1.42,dlc11_3_ipcpi_a1_16_1016
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,16,1,2,1016,0.17600000000000002,1.3671875,2.84,dlc11_3_ipcpi_a2_16_1016
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,16,1,3,1016,0.17600000000000002,1.3671875,4.26,dlc11_3_ipcpi_a3_16_1016
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,16,1,4,1016,0.17600000000000002,1.3671875,5.68,dlc11_3_ipcpi_a4_16_1016
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,16,2,1,2016,0.17600000000000002,1.3671875,1.42,dlc11_3_ipcpi_a1_16_2016
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,16,2,2,2016,0.17600000000000002,1.3671875,2.84,dlc11_3_ipcpi_a2_16_2016
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,16,2,3,2016,0.17600000000000002,1.3671875,4.26,dlc11_3_ipcpi_a3_16_2016
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,16,2,4,2016,0.17600000000000002,1.3671875,5.68,dlc11_3_ipcpi_a4_16_2016
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,16,3,1,3016,0.17600000000000002,1.3671875,1.42,dlc11_3_ipcpi_a1_16_3016
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,16,3,2,3016,0.17600000000000002,1.3671875,2.84,dlc11_3_ipcpi_a2_16_3016
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,16,3,3,3016,0.17600000000000002,1.3671875,4.26,dlc11_3_ipcpi_a3_16_3016
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,16,3,4,3016,0.17600000000000002,1.3671875,5.68,dlc11_3_ipcpi_a4_16_3016
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,18,1,1,1018,0.1697777777777778,1.5380859375,1.42,dlc11_3_ipcpi_a1_18_1018
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,18,1,2,1018,0.1697777777777778,1.5380859375,2.84,dlc11_3_ipcpi_a2_18_1018
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,18,1,3,1018,0.1697777777777778,1.5380859375,4.26,dlc11_3_ipcpi_a3_18_1018
