Tstart,Tstop,Nx,logfolder,resfolder,yaw,Phase,Kp,wsp,controller,_seed,_amp,seed,Tint,dx,Amplitude,filename
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,8,ipc07,1,2,1008,0.23199999999999998,0.68359375,2.78,dlc15_2_ipc07_a2_08_1008
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,8,ipc07,1,3,1008,0.23199999999999998,0.68359375,4.17,dlc15_2_ipc07_a3_08_1008
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,8,ipc07,1,4,1008,0.23199999999999998,0.68359375,5.56,dlc15_2_ipc07_a4_08_1008
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,8,ipc07,2,1,2008,0.23199999999999998,0.68359375,1.39,dlc15_2_ipc07_a1_08_2008
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,8,ipc07,2,2,2008,0.23199999999999998,0.68359375,2.78,dlc15_2_ipc07_a2_08_2008
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,8,ipc07,2,3,2008,0.23199999999999998,0.68359375,4.17,dlc15_2_ipc07_a3_08_2008
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,8,ipc07,2,4,2008,0.23199999999999998,0.68359375,5.56,dlc15_2_ipc07_a4_08_2008
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,8,ipc07,3,1,3008,0.23199999999999998,0.68359375,1.39,dlc15_2_ipc07_a1_08_3008
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,8,ipc07,3,2,3008,0.23199999999999998,0.68359375,2.78,dlc15_2_ipc07_a2_08_3008
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,8,ipc07,3,3,3008,0.23199999999999998,0.68359375,4.17,dlc15_2_ipc07_a3_08_3008
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,8,ipc07,3,4,3008,0.23199999999999998,0.68359375,5.56,dlc15_2_ipc07_a4_08_3008
